Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KRAS_siRNA_P1_1	(1.0, 25.079782760072806)	(2.0, 12.54903448496363)	(3.0, 7.657017584937159)	(4.0, 5.225385948083014)	(5.0, 3.791542817690098)	(6.0, 2.9190199707604845)	(7.0, 2.419326255191787)	(8.0, 2.02325513671049)	(9.0, 1.620288845769996)	('>10', 18.81420227848313)	('>50', 5.492310111526982)	('>100', 8.491625988879935)	('>500', 2.037457365337206)	('>1k', 1.7297699895172949)	('>5k', 0.12147541178620935)	('>10k+', 0.02850505029005244)
KRAS_siRNA_P1_2	(1.0, 25.4277410737853)	(2.0, 12.528819118650377)	(3.0, 7.608964574022348)	(4.0, 5.143096086961103)	(5.0, 3.8801215404738243)	(6.0, 2.9817958696598033)	(7.0, 2.380704620777232)	(8.0, 2.0251305894527967)	(9.0, 1.6722750824315322)	('>10', 18.69989971369941)	('>50', 5.273749730082194)	('>100', 8.501583688340531)	('>500', 2.009828442046189)	('>1k', 1.701476431278326)	('>5k', 0.16481343833893955)	('>10k+', 0.0)
KRAS_siRNA_P2_1	(1.0, 23.57757900515318)	(2.0, 12.969488153401624)	(3.0, 8.00202301329577)	(4.0, 5.3629245794013976)	(5.0, 4.003122086053168)	(6.0, 3.0608493913478574)	(7.0, 2.450494842163201)	(8.0, 2.045473178539523)	(9.0, 1.7778567054383958)	('>10', 18.376579312312007)	('>50', 5.019073108227672)	('>100', 8.544019821988456)	('>500', 2.2769715059371523)	('>1k', 2.048084729165051)	('>5k', 0.23690890422552055)	('>10k+', 0.24855166335013107)
KRAS_siRNA_P2_2	(1.0, 24.045081523996377)	(2.0, 12.877956030383253)	(3.0, 8.030558708311855)	(4.0, 5.510066470222736)	(5.0, 3.950786582916805)	(6.0, 3.068360083196205)	(7.0, 2.336798280437296)	(8.0, 2.0517479200643627)	(9.0, 1.6611123625098958)	('>10', 18.450084361646546)	('>50', 4.990597093175401)	('>100', 8.272935103140021)	('>500', 2.2514925621417543)	('>1k', 2.0471609316042754)	('>5k', 0.23589644866200832)	('>10k+', 0.21936553759118446)
KRAS_siRNA_P3_1_fastq_gz	(1.0, 23.311456716788523)	(2.0, 12.08732826213271)	(3.0, 7.493047451175825)	(4.0, 4.999272369073611)	(5.0, 3.6916435374230088)	(6.0, 2.9624570681393863)	(7.0, 2.392025676297759)	(8.0, 2.0183057842734544)	(9.0, 1.6406908788323231)	('>10', 18.5500463968941)	('>50', 5.470969480833805)	('>100', 9.717008370209669)	('>500', 2.701755799177732)	('>1k', 2.688717027840324)	('>5k', 0.24583616058214147)	('>10k+', 0.029439020325717383)
KRAS_siRNA_P3_2_fastq_gz	(1.0, 23.84912890343238)	(2.0, 12.036715515645612)	(3.0, 7.314389591567437)	(4.0, 5.010039199101981)	(5.0, 3.671596787855169)	(6.0, 3.0105299538947428)	(7.0, 2.3977884296487537)	(8.0, 1.9407894113414401)	(9.0, 1.7690466323086966)	('>10', 18.330059180816036)	('>50', 5.386594962417981)	('>100', 9.717419254834084)	('>500', 2.6492967788387283)	('>1k', 2.64168326167282)	('>5k', 0.24769828162755012)	('>10k+', 0.027223854996788564)
KRAS_siRNA_P4_1_fastq_gz	(1.0, 23.361726204511253)	(2.0, 12.382750766102173)	(3.0, 7.606423288012014)	(4.0, 5.122416509362797)	(5.0, 3.8241014866540426)	(6.0, 2.993643938597507)	(7.0, 2.4596383325042153)	(8.0, 2.019412709297712)	(9.0, 1.6478547308662508)	('>10', 19.715256777715087)	('>50', 5.723541588462839)	('>100', 9.19185900249903)	('>500', 2.1137017612011317)	('>1k', 1.7538600112494842)	('>5k', 0.08381289296446104)	('>10k+', 0.0)
KRAS_siRNA_P4_2_fastq_gz	(1.0, 23.858262640098786)	(2.0, 12.51743410951349)	(3.0, 7.549388012996568)	(4.0, 5.075296874984307)	(5.0, 3.7667846333736654)	(6.0, 3.0002413978783267)	(7.0, 2.472174494740225)	(8.0, 2.021949505573836)	(9.0, 1.7076982256760396)	('>10', 19.470276134277512)	('>50', 5.651285935925312)	('>100', 8.986962143461735)	('>500', 2.1248306106172317)	('>1k', 1.7126078006844059)	('>5k', 0.08480748019846954)	('>10k+', 0.0)
KRAS_siRNA_P5_1	(1.0, 24.487176906968113)	(2.0, 12.422091739377045)	(3.0, 7.08294885610313)	(4.0, 4.796081866002985)	(5.0, 3.4967451341889193)	(6.0, 2.70110102317304)	(7.0, 2.2150955802425742)	(8.0, 1.8093651564795605)	(9.0, 1.4529807662763075)	('>10', 17.021667912165274)	('>50', 5.540026147668032)	('>100', 10.523835712401864)	('>500', 3.154215245533741)	('>1k', 3.0690431367657323)	('>5k', 0.22762481665377776)	('>10k+', 0.0)
KRAS_siRNA_P5_2	(1.0, 25.14342390869248)	(2.0, 12.152457206271926)	(3.0, 7.144146928982038)	(4.0, 4.687921726990129)	(5.0, 3.3355164843566287)	(6.0, 2.6887145616587396)	(7.0, 2.230914414818214)	(8.0, 1.77529862524266)	(9.0, 1.5532582594941375)	('>10', 16.826944798562142)	('>50', 5.4722682990636855)	('>100', 10.609315248651562)	('>500', 3.0768092811708962)	('>1k', 3.0851591508304756)	('>5k', 0.21785110521438483)	('>10k+', 0.0)
SRR24828472_1_fastq_gz	(1.0, 18.55824863874106)	(2.0, 12.522419266720927)	(3.0, 8.57420329918806)	(4.0, 6.068375234972908)	(5.0, 4.313416877801733)	(6.0, 3.3384888101572154)	(7.0, 2.691059973527615)	(8.0, 2.2076290436593196)	(9.0, 1.8217237717000554)	('>10', 18.8881811500185)	('>50', 5.258497456183639)	('>100', 9.831994766216466)	('>500', 2.987823034891229)	('>1k', 2.7709323551741427)	('>5k', 0.1670063210469741)	('>10k+', 0.0)
SRR24828472_2_fastq_gz	(1.0, 19.314644100238134)	(2.0, 12.698087442490058)	(3.0, 8.529678155004797)	(4.0, 5.883087008897289)	(5.0, 4.316657477215194)	(6.0, 3.320171744128888)	(7.0, 2.52690398136176)	(8.0, 2.2046548999986046)	(9.0, 1.802058881220699)	('>10', 18.81180861798458)	('>50', 5.159873069248681)	('>100', 9.648045220936655)	('>500', 2.927176114117887)	('>1k', 2.715372076185386)	('>5k', 0.14178121097135865)	('>10k+', 0.0)
