Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
KRAS_siRNA_M1_2 - illumina_universal_adapter	(1, 4.636511005156286e-05)	(2, 9.273022010312572e-05)	(3, 0.00032897149512775553)	(4, 0.0007109316874572972)	(5, 0.0008102854947106461)	(6, 0.0009736673110828201)	(7, 0.0010421110449684605)	(8, 0.001143672714605217)	(9, 0.001271728732842867)	(10, 0.0016018041591623264)	(12, 0.001973828970766533)	(14, 0.0023591009566711865)	(16, 0.002794049846202514)	(18, 0.0033912766209143116)	(20, 0.004158508799148508)	(22, 0.005188476601008225)	(24, 0.006538584448462067)	(26, 0.00815915543788336)	(28, 0.00991330210150082)	(30, 0.011937911907085732)	(32, 0.014027653652981174)	(34, 0.016216749206129963)	(36, 0.0184477941445635)	(38, 0.020707541293981335)	(40, 0.023104175911170456)	(42, 0.025637697996130852)	(44, 0.028057515168345752)	(46, 0.030498307033203026)	(48, 0.033053907741997506)	(50, 0.035650353904885024)	(52, 0.0381485501917109)	(54, 0.040675448689521075)	(56, 0.043231049398315555)	(58, 0.0458065208685607)	(60, 0.048450436072691484)	(62, 0.051128573143765094)	(64, 0.05393807802665146)	(66, 0.05685907995989992)	(68, 0.059856253145375946)	(70, 0.06319674893147188)	(72, 0.06704505306575159)	(74, 0.07128414884189449)	(76, 0.07590410087917521)	(78, 0.08093029959500297)	(80, 0.0865459975672006)	(82, 0.09358135105192941)	(84, 0.10174161042100446)	(86, 0.11085235454613657)	(88, 0.12064753601012508)	(90, 0.13248167838519065)	(92, 0.14652699493723909)	(94, 0.16271062620761795)	(96, 0.1805214520545683)	(98, 0.20013830933114618)	(100, 0.2216064592162115)	(102, 0.2463179589425028)	(104, 0.27359609868950563)	(106, 0.3036727040074778)	(108, 0.3355553407550774)	(110, 0.37071223741727083)	(112, 0.4090252733565456)	(114, 0.4514416215353837)	(116, 0.4978464731098479)	(118, 0.5476922782088531)	(120, 0.6002692090761337)	(122, 0.6571812777332353)	(124, 0.7192575365051279)	(126, 0.7875202256753289)	(128, 0.8596003089064418)	(130, 0.936373203633488)	(132, 1.0192585653689985)	(134, 1.1086725761722458)	(136, 1.2063395765646712)	(138, 1.3100594316812089)
KRAS_siRNA_M1_2 - polya	(1, 0.0023028004658942887)	(2, 0.00741620974586665)	(3, 0.009378999404716145)	(4, 0.011551535989989375)	(5, 0.013902909428318634)	(6, 0.015660367885511207)	(7, 0.017985246975239573)	(8, 0.024869361886704956)	(9, 0.03464136079566768)	(10, 0.043384495833962394)	(12, 0.050096397479521965)	(14, 0.061678843542879044)	(16, 0.07537531783834905)	(18, 0.08508991232534319)	(20, 0.0961645500405165)	(22, 0.10754056097102493)	(24, 0.11685884416019737)	(26, 0.1275426902335075)	(28, 0.13746261592215855)	(30, 0.14665284309309334)	(32, 0.1565495862267186)	(34, 0.16550246819143705)	(36, 0.17345077277170495)	(38, 0.181174979320057)	(40, 0.18976246006032144)	(42, 0.1975462788930255)	(44, 0.2052627579230356)	(46, 0.21338769149397613)	(48, 0.22096065946906474)	(50, 0.22849940557721052)	(52, 0.23728669786317338)	(54, 0.24772767907430865)	(56, 0.25669380821332755)	(58, 0.26465204817432075)	(60, 0.2727703581581111)	(62, 0.2813467995864586)	(64, 0.28913834593750454)	(66, 0.29706236403155495)	(68, 0.30548867081783065)	(70, 0.3139315365719819)	(72, 0.3218036699000223)	(74, 0.32970560937023863)	(76, 0.3389775274493595)	(78, 0.3480628811570824)	(80, 0.3554349336552809)	(82, 0.3643767763080823)	(84, 0.37528913613807513)	(86, 0.38622688638547714)	(88, 0.3957891383680161)	(90, 0.4054032751165652)	(92, 0.4140823821457411)	(94, 0.42383451029325314)	(96, 0.4324054320656421)	(98, 0.440077753847984)	(100, 0.44808015105664545)	(102, 0.4564170394163931)	(104, 0.46410812802899404)	(106, 0.4718842193433561)	(108, 0.4806141072073504)	(110, 0.48829746830160936)	(112, 0.49561542817141435)	(114, 0.5033550897564503)	(116, 0.5115440513365096)	(118, 0.5207640846496204)	(120, 0.5292235093716473)	(122, 0.5372347380298423)	(124, 0.5455793539079319)	(126, 0.5548302972944104)	(128, 0.5638770134104236)	(130, 0.5739724641585556)	(132, 0.5839431706820251)	(134, 0.5930550187383488)	(136, 0.6007582505940585)	(138, 0.6081247834362984)
KRAS_siRNA_M1_2 - polyg	(1, 0.022182393366097716)	(2, 0.02274981399863351)	(3, 0.022880077879254567)	(4, 0.02303462824609311)	(5, 0.02314060564049668)	(6, 0.023343728979770197)	(7, 0.02357555453002801)	(8, 0.023913357474689395)	(9, 0.024414542235722956)	(10, 0.024949948863699337)	(12, 0.02558802109250418)	(14, 0.026292329192811253)	(16, 0.026922673903274165)	(18, 0.027427170457882837)	(20, 0.027990175365651817)	(22, 0.0285542842046125)	(24, 0.02916365422243304)	(26, 0.02976971244667847)	(28, 0.03045194192315146)	(30, 0.031173912922525797)	(32, 0.03190029964666695)	(34, 0.032745910939512124)	(36, 0.03371185073225302)	(38, 0.034588372098465894)	(40, 0.03536664358861713)	(42, 0.03611400500540066)	(44, 0.03701150106425591)	(46, 0.03801166272393962)	(48, 0.03896987499833858)	(50, 0.03981879808475887)	(52, 0.040749412079365235)	(54, 0.04170431256018909)	(56, 0.04276960616018333)	(58, 0.04381061327396009)	(60, 0.0448372692822447)	(62, 0.04596769482254946)	(64, 0.0471731876838901)	(66, 0.04841290241217355)	(68, 0.049692358663358346)	(70, 0.05116500287309132)	(72, 0.05268070039930074)	(74, 0.05442270381980946)	(76, 0.056533420258347275)	(78, 0.058432181908077946)	(80, 0.060411530534803)	(82, 0.062425101028470875)	(84, 0.06442100862307149)	(86, 0.0665339329239927)	(88, 0.06876387393123454)	(90, 0.07129849994738663)	(92, 0.07392916797721698)	(94, 0.07677731045181299)	(96, 0.07999968560039661)	(98, 0.08353447327623242)	(100, 0.08743466217652221)	(102, 0.09173557809940053)	(104, 0.09632682792569695)	(106, 0.10111016177934985)	(108, 0.10612090545849376)	(110, 0.11142639876582258)	(112, 0.11705092818755385)	(114, 0.12297241509985345)	(116, 0.12926371896137384)	(118, 0.1355638542724279)	(120, 0.14183087164773078)	(122, 0.1486399192381603)	(124, 0.15543682358548105)	(126, 0.1623352896024386)	(128, 0.1695042187613636)	(130, 0.17711361646577842)	(132, 0.18495152792687594)	(134, 0.19295502906672907)	(136, 0.2010832744312447)	(138, 0.20992576327679277)
KRAS_siRNA_M2_1 - illumina_universal_adapter	(1, 5.9047899406180255e-05)	(2, 0.00013172223713686366)	(3, 0.00040197993057284253)	(4, 0.0008175862994701882)	(5, 0.0009243267330121295)	(6, 0.0011650604767450181)	(7, 0.00123092159531345)	(8, 0.001387625636045236)	(9, 0.001546600749831106)	(10, 0.0020757607714326446)	(12, 0.0024822828481136545)	(14, 0.0029274131667140907)	(16, 0.0034849616014916767)	(18, 0.004219653734487804)	(20, 0.005044053253120245)	(22, 0.00606035844482277)	(24, 0.007235638750311166)	(26, 0.008603960265396688)	(28, 0.01017100067271455)	(30, 0.011819799709979428)	(32, 0.01341182192089221)	(34, 0.015129888686306648)	(36, 0.016983084298439075)	(38, 0.018868074933328677)	(40, 0.02079508041971883)	(42, 0.022701646248622226)	(44, 0.02457755259129549)	(46, 0.026636280314822507)	(48, 0.02881310383716188)	(50, 0.031005824870879842)	(52, 0.03308499225189362)	(54, 0.03528452650477383)	(56, 0.03745453680795095)	(58, 0.03956322813866782)	(60, 0.0419217375053339)	(62, 0.04438244515943376)	(64, 0.04685905032491221)	(66, 0.049265252225714054)	(68, 0.05195420272174933)	(70, 0.05502810010045184)	(72, 0.0586266153546477)	(74, 0.06276564599571553)	(76, 0.0674043127086818)	(78, 0.0725744105163037)	(80, 0.07840879719224514)	(82, 0.08557857482398787)	(84, 0.09440055810257661)	(86, 0.10429789447227404)	(88, 0.11513204847678107)	(90, 0.12785232865270477)	(92, 0.1428925099533751)	(94, 0.16063640372493226)	(96, 0.18031411620204185)	(98, 0.2021879563224505)	(100, 0.22632264966819965)	(102, 0.25358233953636816)	(104, 0.284289518300636)	(106, 0.3173722394794755)	(108, 0.35277599731958875)	(110, 0.39125024592882335)	(112, 0.43356487907251373)	(114, 0.4805420251962383)	(116, 0.5306498455250175)	(118, 0.5845957793151983)	(120, 0.6422004117955084)	(122, 0.7044766415480688)	(124, 0.7729301900077373)	(126, 0.8465697337864063)	(128, 0.9249149409331372)	(130, 1.0093409461821774)	(132, 1.1003155905826687)	(134, 1.1996000912880525)	(136, 1.3071115541318552)	(138, 1.4217371533175756)
KRAS_siRNA_M2_1 - polya	(1, 0.0019622071187284516)	(2, 0.006458931765814487)	(3, 0.00813271260667429)	(4, 0.01030612951943254)	(5, 0.012086650793834282)	(6, 0.013533324329285699)	(7, 0.01558410329712342)	(8, 0.022263329149184042)	(9, 0.030918388558297618)	(10, 0.039079489578147955)	(12, 0.04521479343375549)	(14, 0.05543121556755172)	(16, 0.06771090757098312)	(18, 0.07677703120288588)	(20, 0.08721601849598232)	(22, 0.09791958579987954)	(24, 0.10638614614550415)	(26, 0.11572593408042402)	(28, 0.12528488056506296)	(30, 0.13426016127480234)	(32, 0.14310826189351306)	(34, 0.15046994519832588)	(36, 0.15751254273903992)	(38, 0.1649275962606237)	(40, 0.17327265419785484)	(42, 0.18052532599607163)	(44, 0.18801873153802132)	(46, 0.19635811179261725)	(48, 0.2036584761249698)	(50, 0.2111064602058378)	(52, 0.21970701386165337)	(54, 0.23018915154277741)	(56, 0.23909970667047542)	(58, 0.24706776648072862)	(60, 0.2554241797832302)	(62, 0.2638396409851379)	(64, 0.27190876354629784)	(66, 0.28015730087873036)	(68, 0.288569355471057)	(70, 0.29672023666216396)	(72, 0.3045406767239017)	(74, 0.3126767959401571)	(76, 0.3215010502918)	(78, 0.3300493692673716)	(80, 0.33752119961530747)	(82, 0.34591054347709327)	(84, 0.3571353220469027)	(86, 0.3684327749544428)	(88, 0.3775999613372524)	(90, 0.38674670806257505)	(92, 0.3953790567411478)	(94, 0.40512082460664045)	(96, 0.41372932701814535)	(98, 0.4214907191804769)	(100, 0.4298721142865734)	(102, 0.43812065161900593)	(104, 0.4460444255047045)	(106, 0.454046551410769)	(108, 0.46267208687017947)	(110, 0.4707650556984073)	(112, 0.47804838698285423)	(114, 0.4856451263487648)	(116, 0.4938505132931697)	(118, 0.5029938534089113)	(120, 0.5113752485150078)	(122, 0.5191661646270425)	(124, 0.5284037542745286)	(126, 0.5383714939089026)	(128, 0.5480246899252861)	(130, 0.5585408937022214)	(132, 0.568525666384501)	(134, 0.577951755095476)	(136, 0.5858391918123093)	(138, 0.5933303262812049)
KRAS_siRNA_M2_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 6.813219162251568e-05)	(4, 0.0001544329676777022)	(5, 0.0002952394970309013)	(6, 0.0005246178754933707)	(7, 0.000931139952174381)	(8, 0.001417149585748326)	(9, 0.002193856570245005)	(10, 0.0029274131667140907)	(12, 0.0038676374111048066)	(14, 0.004885078139334375)	(16, 0.0059581601573889965)	(18, 0.006788237358656645)	(20, 0.00776820538149383)	(22, 0.008732275892952427)	(24, 0.009644111724167095)	(26, 0.010680856573356375)	(28, 0.011876576536331524)	(30, 0.013197205517281287)	(32, 0.014548493984461182)	(34, 0.015944068376195712)	(36, 0.017336236158349116)	(38, 0.018918038540518524)	(40, 0.02058500616221607)	(42, 0.022154317642588017)	(44, 0.024010919864301566)	(46, 0.026002650932733108)	(48, 0.027894454786784963)	(50, 0.029791936323472025)	(52, 0.031699637688902466)	(54, 0.03378561828907849)	(56, 0.03605101366052713)	(58, 0.03846175770743714)	(60, 0.04105305206214682)	(62, 0.043546690275530896)	(64, 0.04595629878591387)	(66, 0.04850671382565004)	(68, 0.05129104938995685)	(70, 0.05515414465495348)	(72, 0.05851419723847055)	(74, 0.06182996389743298)	(76, 0.0649367918354197)	(78, 0.06795050577818898)	(80, 0.07126400136409732)	(82, 0.07440148878831417)	(84, 0.07772520420296589)	(86, 0.08118177739128152)	(88, 0.08477915710895034)	(90, 0.08846056652962028)	(92, 0.09214424702334428)	(94, 0.09601415550750318)	(96, 0.10049271157015655)	(98, 0.10543343099931599)	(100, 0.11044909583926017)	(102, 0.11550677553070493)	(104, 0.12085288150001833)	(106, 0.12654078396397134)	(108, 0.13244784497764345)	(110, 0.13846845964401974)	(112, 0.14460603457268137)	(114, 0.15103544238879277)	(116, 0.15796675734985668)	(118, 0.1652114803923842)	(120, 0.17245733897143872)	(122, 0.17988829000440112)	(124, 0.1867208132876124)	(126, 0.19375773314569122)	(128, 0.20095249258102887)	(130, 0.2090454614092567)	(132, 0.2174382118806236)	(134, 0.2255663823411897)	(136, 0.2335174091035373)	(138, 0.24176253982638873)
KRAS_siRNA_M2_2 - illumina_universal_adapter	(1, 5.9047899406180255e-05)	(2, 0.00013172223713686366)	(3, 0.00039970885751875867)	(4, 0.0008130441533620204)	(5, 0.0009220556599580455)	(6, 0.001167331549799102)	(7, 0.0012354637414216177)	(8, 0.0013989810013156554)	(9, 0.0015647693342637767)	(10, 0.002096200428919399)	(12, 0.002511806797816745)	(14, 0.0029841899930661865)	(16, 0.00353378967215448)	(18, 0.004294599145272571)	(20, 0.005155335832770353)	(22, 0.006281788067595946)	(24, 0.007659193874897805)	(26, 0.009278468962459594)	(28, 0.011073752211712883)	(30, 0.013013248599900495)	(32, 0.014920949965330934)	(34, 0.016933120691249227)	(36, 0.019103130994426357)	(38, 0.02129244541856319)	(40, 0.023555569716957755)	(42, 0.02590840140098863)	(44, 0.028196507502978113)	(46, 0.030681061424145853)	(48, 0.03330528633813975)	(50, 0.03592610464255252)	(52, 0.03839362551581463)	(54, 0.04097583557830797)	(56, 0.043569401006071734)	(58, 0.04609369870568594)	(60, 0.04878946242088348)	(62, 0.051602186398366334)	(64, 0.054470551665674244)	(66, 0.0572128723784805)	(68, 0.06017094503142473)	(70, 0.06353440422452292)	(72, 0.06746563168114207)	(74, 0.07190217289229488)	(76, 0.07679860639689967)	(78, 0.08230368747999894)	(80, 0.08844807562782281)	(82, 0.09592331258533983)	(84, 0.10505416179928398)	(86, 0.11520472281451177)	(88, 0.12628188163580578)	(90, 0.13928036826085471)	(92, 0.15468732785975958)	(94, 0.17262539837744095)	(96, 0.19257336854798648)	(98, 0.21469362009476323)	(100, 0.239007728211785)	(102, 0.26653086255422725)	(104, 0.2974276759185111)	(106, 0.3306920829416773)	(108, 0.3663036439662392)	(110, 0.40504247258627457)	(112, 0.4476194146677117)	(114, 0.49474985822258694)	(116, 0.5451188519525857)	(118, 0.599399769018244)	(120, 0.657409788038708)	(122, 0.7200959464775305)	(124, 0.788926493064177)	(126, 0.8628737672416744)	(128, 0.9414472172303405)	(130, 1.026175275195574)	(132, 1.11757801686676)	(134, 1.2170067307110781)	(136, 1.3247044215453156)	(138, 1.439700205638852)
KRAS_siRNA_M2_2 - polya	(1, 0.002339205245706372)	(2, 0.007630805461721756)	(3, 0.009781511643939167)	(4, 0.012129801181861875)	(5, 0.014637065833570452)	(6, 0.01650843003013555)	(7, 0.01887488815249093)	(8, 0.025965178227340725)	(9, 0.03530837277184171)	(10, 0.04412467836779524)	(12, 0.05093449092046568)	(14, 0.062250112412438496)	(16, 0.07554156746146426)	(18, 0.08548091868266225)	(20, 0.09681697983212183)	(22, 0.10810194183786451)	(24, 0.1176949544183147)	(26, 0.12811917973655962)	(28, 0.13848095054581722)	(30, 0.14789568389152183)	(32, 0.15738195603843008)	(34, 0.16573496273135052)	(36, 0.17332375334157174)	(38, 0.18127818671350043)	(40, 0.19004566423879116)	(42, 0.19788200181190752)	(44, 0.20596134420181084)	(46, 0.21475039692111536)	(48, 0.22274911621759869)	(50, 0.23046735799190265)	(52, 0.23914399259503005)	(54, 0.2498623218737788)	(56, 0.25899090001466885)	(58, 0.2671099861830186)	(60, 0.2756151547705627)	(62, 0.28388640283353606)	(64, 0.29190669732403324)	(66, 0.30024834865168326)	(68, 0.30872058667994307)	(70, 0.317439236134571)	(72, 0.32548791903824414)	(74, 0.33376938692996094)	(76, 0.34284005270797185)	(78, 0.3519345647530507)	(80, 0.3596709751117873)	(82, 0.3683067303999412)	(84, 0.37918403479247587)	(86, 0.3905541620377466)	(88, 0.399907576410991)	(90, 0.40928824366088434)	(92, 0.41834301192751666)	(94, 0.4282221797127815)	(96, 0.43705665389316767)	(98, 0.44507013516450256)	(100, 0.45354577980234356)	(102, 0.4621633665060647)	(104, 0.4703698889869967)	(106, 0.4783992677697102)	(108, 0.48691806279557875)	(110, 0.49486681848487224)	(112, 0.5023500041980786)	(114, 0.5102090525017358)	(116, 0.5187119500162256)	(118, 0.5278382570840616)	(120, 0.5362276009458474)	(122, 0.544096869078248)	(124, 0.552925665575999)	(126, 0.5628502548223454)	(128, 0.5721537055884)	(130, 0.5822054749257751)	(132, 0.5916224793445338)	(134, 0.6004251585021628)	(136, 0.6084840612345794)	(138, 0.6161318997442068)
KRAS_siRNA_M2_2 - polyg	(1, 0.02962387691746982)	(2, 0.030209813765423452)	(3, 0.030327909564235814)	(4, 0.030457360728318592)	(5, 0.030611793695996297)	(6, 0.030818461343917927)	(7, 0.031077363672083486)	(8, 0.031504325406251255)	(9, 0.03204256972006912)	(10, 0.032662572663834016)	(12, 0.03349037879204758)	(14, 0.03419554697534062)	(16, 0.034849616014916776)	(18, 0.03545031483772196)	(20, 0.03625313916234059)	(22, 0.03692991893245758)	(24, 0.03760556316604753)	(26, 0.038340255299043655)	(28, 0.039070405285931614)	(30, 0.039775573469224654)	(32, 0.04054887384414021)	(34, 0.0413096833172583)	(36, 0.04221470592931072)	(38, 0.043160607856336644)	(40, 0.0441939460959448)	(42, 0.04508193566009158)	(44, 0.04603692187933385)	(46, 0.047172458406375774)	(48, 0.04815015535615887)	(50, 0.049109683721509305)	(52, 0.05008624513476537)	(54, 0.05112980320311689)	(56, 0.05224717114572615)	(58, 0.053338421748213447)	(60, 0.05449780454232325)	(62, 0.05564242536158151)	(64, 0.05685972051857047)	(66, 0.05820533130311514)	(68, 0.05970537505533753)	(70, 0.06155289298483475)	(72, 0.0634367480831973)	(74, 0.06551705100073812)	(76, 0.06784944302728224)	(78, 0.06990022199511997)	(80, 0.07203162405637767)	(82, 0.07416756826374353)	(84, 0.07628988603278489)	(86, 0.07853938389285495)	(88, 0.0809728386703058)	(90, 0.08353006692920423)	(92, 0.08639389005040396)	(94, 0.08933379411891551)	(96, 0.09268816901979737)	(98, 0.09622763637458706)	(100, 0.10012252666234088)	(102, 0.10422067798843519)	(104, 0.10869809851456153)	(106, 0.11364336008982912)	(108, 0.11872034390223357)	(110, 0.1238802218811121)	(112, 0.1292217857043173)	(114, 0.13484269151317485)	(116, 0.14114719031131168)	(118, 0.14736993047950142)	(120, 0.15378684739381535)	(122, 0.16028211632849518)	(124, 0.16680918028593217)	(126, 0.17364397464219755)	(128, 0.1805673408475722)	(130, 0.18791653325058755)	(132, 0.1958959484261112)	(134, 0.20426712370346425)	(136, 0.21223177690413636)	(138, 0.220861854509655)
KRAS_siRNA_M3_1 - illumina_universal_adapter	(1, 5.5864253402301786e-05)	(2, 0.00019552488690805625)	(3, 0.0006214898191006074)	(4, 0.0013849679489320653)	(5, 0.001589803544740505)	(6, 0.001845848039501055)	(7, 0.001945938160180179)	(8, 0.00211585859761218)	(9, 0.0023835414784982097)	(10, 0.0031970646686692297)	(12, 0.0037778201363306584)	(14, 0.004545953620612308)	(16, 0.005274516592067327)	(18, 0.006209078997943334)	(20, 0.007209980204734574)	(22, 0.008415717007334254)	(24, 0.009730854639513443)	(26, 0.011092545816194548)	(28, 0.012670710974809575)	(30, 0.014287282807638683)	(32, 0.01598299566612105)	(34, 0.017698493781016733)	(36, 0.019530375757167213)	(38, 0.0214448902748086)	(40, 0.023473460976479683)	(42, 0.02563121776414359)	(44, 0.027744748684530675)	(46, 0.029916471535545157)	(48, 0.03210681580436041)	(50, 0.0342401319811608)	(52, 0.03653638556371792)	(54, 0.038922254719441225)	(56, 0.041245276590086935)	(58, 0.04361950735968477)	(60, 0.046110121990537385)	(62, 0.0488626003092133)	(64, 0.05178267138809611)	(66, 0.05483774774603449)	(68, 0.05810231505423151)	(70, 0.06185802225692376)	(72, 0.06621427018369075)	(74, 0.07136541988282799)	(76, 0.07689481713104332)	(78, 0.08294561407768013)	(80, 0.09016839650715273)	(82, 0.09881804507560912)	(84, 0.10922159843317528)	(86, 0.12043867498091246)	(88, 0.13291269723020144)	(90, 0.14717437558836405)	(92, 0.16377420571913553)	(94, 0.18248407525445642)	(96, 0.20307354414904227)	(98, 0.22478844498196202)	(100, 0.24887641274586703)	(102, 0.2760078184815849)	(104, 0.3055646638858528)	(106, 0.3378670045771212)	(108, 0.371293613368111)	(110, 0.4069687583585434)	(112, 0.4457315671880656)	(114, 0.48789976779790306)	(116, 0.5326016450672574)	(118, 0.5800699667186382)	(120, 0.6304083143885624)	(122, 0.6833292199397303)	(124, 0.7412592868793049)	(126, 0.8030242020472247)	(128, 0.8680292439124782)	(130, 0.9375010983726906)	(132, 1.012436011280203)	(134, 1.092135679467487)	(136, 1.1778489017658063)	(138, 1.2689320754224216)
KRAS_siRNA_M3_1 - polya	(1, 0.0016735999248439577)	(2, 0.006312660634460102)	(3, 0.008081695325532993)	(4, 0.010188243214244788)	(5, 0.011936328810291816)	(6, 0.013267760183046675)	(7, 0.015199732279876279)	(8, 0.021302901964077747)	(9, 0.028893457395115504)	(10, 0.0373708578489148)	(12, 0.043569462299345205)	(14, 0.05407776113204068)	(16, 0.0660071069106572)	(18, 0.07480921833735737)	(20, 0.08476702150631768)	(22, 0.09457701717148438)	(24, 0.10322201038549059)	(26, 0.1117704049946553)	(28, 0.1207331261498871)	(30, 0.12834812219178837)	(32, 0.13635882336195593)	(34, 0.14356065669640267)	(36, 0.15072757487247296)	(38, 0.15888608354643413)	(40, 0.16714119082523676)	(42, 0.1747748082849388)	(44, 0.18271567913835346)	(46, 0.19123148626636685)	(48, 0.1987347538014635)	(50, 0.20583416933800602)	(52, 0.21471658562897203)	(54, 0.22536454509517323)	(56, 0.23400837447056688)	(58, 0.24224718800879386)	(60, 0.2505802724746372)	(62, 0.25841174249847243)	(64, 0.26623972100647)	(66, 0.2740851570936557)	(68, 0.28209120290937306)	(70, 0.29042894272966663)	(72, 0.2987434057777092)	(74, 0.3071591227850434)	(76, 0.3166758311198481)	(78, 0.3258096365511244)	(80, 0.33350377361867894)	(82, 0.34271206472115834)	(84, 0.3539570733955967)	(86, 0.3653405788649282)	(88, 0.3747304287909651)	(90, 0.38397014353598335)	(92, 0.39301200571686834)	(94, 0.4028103629959096)	(96, 0.4113785428614876)	(98, 0.4193461820029909)	(100, 0.4277793565895134)	(102, 0.43649418012027247)	(104, 0.44447112997067617)	(106, 0.45304280135209185)	(108, 0.46197991805784755)	(110, 0.4705411148917503)	(112, 0.47843775987788817)	(114, 0.4863972521491037)	(116, 0.4946255911398177)	(118, 0.5038862549798617)	(120, 0.5126464682165102)	(122, 0.5207316550578809)	(124, 0.5297770087546035)	(126, 0.5390586216896736)	(128, 0.5480725517438574)	(130, 0.5580920383592827)	(132, 0.5679974687906784)	(134, 0.5767786311223526)	(136, 0.584954597375502)	(138, 0.592379887723558)
KRAS_siRNA_M3_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.681334842816495e-05)	(4, 0.0001466436651810422)	(5, 0.00025138914031035803)	(6, 0.0004678631222442775)	(7, 0.0007751165159569373)	(8, 0.001343069758880339)	(9, 0.00216706749656429)	(10, 0.0029421840125212276)	(12, 0.003889548643135262)	(14, 0.00490325207466453)	(16, 0.0058738934775295236)	(18, 0.006746772436940489)	(20, 0.007656894231952989)	(22, 0.008562360672515297)	(24, 0.009448041856664289)	(26, 0.010396570325890872)	(28, 0.011482431751398115)	(30, 0.012691660069835436)	(32, 0.014033565990103228)	(34, 0.015425516970710582)	(36, 0.016939671005635468)	(38, 0.018542276775114004)	(40, 0.020298509241448867)	(42, 0.021958143102942248)	(44, 0.023817957205793876)	(46, 0.025834889521339482)	(48, 0.02775289555481851)	(50, 0.029804743028740553)	(52, 0.03192409314219037)	(54, 0.03424129581977335)	(56, 0.036545696272618305)	(58, 0.0390502769668215)	(60, 0.04178646154492174)	(62, 0.04424332485601047)	(64, 0.04682471889864183)	(66, 0.04959931015095615)	(68, 0.052375065241883026)	(70, 0.05578278469942344)	(72, 0.05904153281455771)	(74, 0.0628833640745785)	(76, 0.06613047380358729)	(78, 0.069254216639666)	(80, 0.07285513330688936)	(82, 0.07614763274178754)	(84, 0.07960888877550515)	(86, 0.08320165857244069)	(88, 0.08687589707225457)	(90, 0.09074449662036396)	(92, 0.09484586389098296)	(94, 0.09911831543764649)	(96, 0.10383535333430335)	(98, 0.10892714726420065)	(100, 0.11388859126949258)	(102, 0.11884770759755942)	(104, 0.12440038161802569)	(106, 0.13013577830066203)	(108, 0.13617493686117335)	(110, 0.14221875077613488)	(112, 0.14830679055837323)	(114, 0.15481730375696648)	(116, 0.16139531959508752)	(118, 0.16845632845741595)	(120, 0.17558716763649726)	(122, 0.1829635767628262)	(124, 0.18986281205801048)	(126, 0.19694709769258986)	(128, 0.20410936051420997)	(130, 0.21196410731029613)	(132, 0.22014123740205804)	(134, 0.22825552020874237)	(136, 0.2365711470953975)	(138, 0.2450555305808721)
KRAS_siRNA_M3_2 - illumina_universal_adapter	(1, 5.5864253402301786e-05)	(2, 0.00019086953245786445)	(3, 0.0006145067874253196)	(4, 0.0013710018855814898)	(5, 0.0015758374813899297)	(6, 0.0018365373306006713)	(7, 0.0019389551285048912)	(8, 0.0021135309203870844)	(9, 0.002381213801273114)	(10, 0.0032156860864699967)	(12, 0.0038127352947070975)	(14, 0.004618111614590281)	(16, 0.005374606712746451)	(18, 0.006367361049249856)	(20, 0.007404341253030083)	(22, 0.008696202112958313)	(24, 0.010220830695396131)	(26, 0.011836238689612692)	(28, 0.01371932956471528)	(30, 0.015639663275419404)	(32, 0.01767754468599087)	(34, 0.01987370814786886)	(36, 0.022085001511709973)	(38, 0.024405695705130594)	(40, 0.026871869725119707)	(42, 0.029477704378614578)	(44, 0.032059098421245935)	(46, 0.03470101207172979)	(48, 0.037354564108339136)	(50, 0.039973200986572026)	(52, 0.042689600308258954)	(54, 0.04556777319709004)	(56, 0.04827020645542639)	(58, 0.051071565995829314)	(60, 0.05403004374892621)	(62, 0.05718404638893117)	(64, 0.060487020371342265)	(66, 0.06399133843372415)	(68, 0.06768070683550116)	(70, 0.07182280845755934)	(72, 0.07649794816416447)	(74, 0.08206226057075622)	(76, 0.08795593930469908)	(78, 0.09439196683208925)	(80, 0.10201510974427835)	(82, 0.11097550322228505)	(84, 0.12169562068246426)	(86, 0.13328978094066696)	(88, 0.14613972306180895)	(90, 0.1607808128076622)	(92, 0.17770768158855965)	(94, 0.19674575361261906)	(96, 0.21769368479986967)	(98, 0.23971583902650206)	(100, 0.264118043215795)	(102, 0.29155553850661303)	(104, 0.32143243952933154)	(106, 0.35409789786771495)	(108, 0.3878771497583068)	(110, 0.42394101684533025)	(112, 0.46317401647432177)	(114, 0.5057577074688389)	(116, 0.5508587813822972)	(118, 0.5987053505827562)	(120, 0.6495394935016257)	(122, 0.7030260246184921)	(124, 0.7614379207436612)	(126, 0.8237859190564677)	(128, 0.8894368913516852)	(130, 0.9593905749974925)	(132, 1.0348468876034267)	(134, 1.1148503176685853)	(136, 1.2008591549744918)	(138, 1.2922844971831964)
