Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
KRAS_siRNA_M3_1	(13.0, 23.0)	(14.0, 331.0)	(15.0, 1427.0)	(16.0, 3610.0)	(17.0, 6183.0)	(18.0, 9058.0)	(19.0, 12532.0)	(20.0, 15707.0)	(21.0, 20793.0)	(22.0, 28033.0)	(23.0, 36307.0)	(24.0, 47386.0)	(25.0, 62706.0)	(26.0, 86517.0)	(27.0, 119779.0)	(28.0, 168073.0)	(29.0, 228510.0)	(30.0, 299228.0)	(31.0, 386982.0)	(32.0, 501687.0)	(33.0, 680709.0)	(34.0, 1059400.0)	(35.0, 2416811.0)	(36.0, 28751102.0)	(37.0, 8018389.0)										
KRAS_siRNA_M3_2	(11.0, 41.0)	(12.0, 836.0)	(13.0, 2183.0)	(14.0, 2767.0)	(15.0, 3424.0)	(16.0, 4551.0)	(17.0, 6321.0)	(18.0, 8727.0)	(19.0, 11799.0)	(20.0, 16335.0)	(21.0, 23764.0)	(22.0, 34210.0)	(23.0, 47377.0)	(24.0, 64348.0)	(25.0, 83278.0)	(26.0, 106201.0)	(27.0, 135860.0)	(28.0, 170151.0)	(29.0, 215028.0)	(30.0, 272186.0)	(31.0, 351292.0)	(32.0, 475132.0)	(33.0, 683480.0)	(34.0, 1196708.0)	(35.0, 3587867.0)	(36.0, 30766085.0)	(37.0, 4691332.0)								
KRAS_siRNA_P1_1	(13.0, 21.0)	(14.0, 281.0)	(15.0, 1267.0)	(16.0, 3251.0)	(17.0, 5503.0)	(18.0, 8186.0)	(19.0, 10772.0)	(20.0, 13792.0)	(21.0, 18157.0)	(22.0, 24186.0)	(23.0, 31780.0)	(24.0, 42467.0)	(25.0, 57700.0)	(26.0, 79412.0)	(27.0, 111566.0)	(28.0, 156699.0)	(29.0, 213284.0)	(30.0, 279807.0)	(31.0, 360537.0)	(32.0, 467329.0)	(33.0, 631436.0)	(34.0, 976013.0)	(35.0, 2214846.0)	(36.0, 26625698.0)	(37.0, 7629292.0)										
KRAS_siRNA_P1_2	(11.0, 35.0)	(12.0, 663.0)	(13.0, 1912.0)	(14.0, 2318.0)	(15.0, 3035.0)	(16.0, 4120.0)	(17.0, 5639.0)	(18.0, 7435.0)	(19.0, 9909.0)	(20.0, 13753.0)	(21.0, 19477.0)	(22.0, 27849.0)	(23.0, 39131.0)	(24.0, 53213.0)	(25.0, 69621.0)	(26.0, 88657.0)	(27.0, 112188.0)	(28.0, 141451.0)	(29.0, 179997.0)	(30.0, 229325.0)	(31.0, 297281.0)	(32.0, 404809.0)	(33.0, 569792.0)	(34.0, 967174.0)	(35.0, 2735660.0)	(36.0, 28471036.0)	(37.0, 5507802.0)								
KRAS_siRNA_P2_1	(12.0, 1.0)	(13.0, 21.0)	(14.0, 349.0)	(15.0, 1666.0)	(16.0, 4091.0)	(17.0, 6675.0)	(18.0, 9567.0)	(19.0, 12474.0)	(20.0, 16370.0)	(21.0, 21803.0)	(22.0, 28737.0)	(23.0, 38044.0)	(24.0, 49320.0)	(25.0, 64029.0)	(26.0, 85865.0)	(27.0, 118322.0)	(28.0, 161948.0)	(29.0, 220216.0)	(30.0, 290363.0)	(31.0, 377425.0)	(32.0, 489718.0)	(33.0, 667485.0)	(34.0, 1041885.0)	(35.0, 2342821.0)	(36.0, 28301587.0)	(37.0, 8281432.0)									
KRAS_siRNA_P2_2	(11.0, 28.0)	(12.0, 615.0)	(13.0, 1672.0)	(14.0, 2399.0)	(15.0, 3055.0)	(16.0, 4300.0)	(17.0, 5950.0)	(18.0, 8238.0)	(19.0, 11185.0)	(20.0, 15105.0)	(21.0, 21316.0)	(22.0, 31133.0)	(23.0, 41989.0)	(24.0, 56661.0)	(25.0, 70963.0)	(26.0, 89880.0)	(27.0, 112074.0)	(28.0, 140208.0)	(29.0, 180651.0)	(30.0, 230036.0)	(31.0, 306960.0)	(32.0, 408941.0)	(33.0, 582089.0)	(34.0, 1008805.0)	(35.0, 2844056.0)	(36.0, 30440017.0)	(37.0, 6013888.0)								
KRAS_siRNA_P3_1_fastq_gz	(30.0, 42073244.0)																																		
KRAS_siRNA_P3_2_fastq_gz	(30.0, 42073244.0)																																		
KRAS_siRNA_P4_1_fastq_gz	(30.0, 40452536.0)																																		
KRAS_siRNA_P4_2_fastq_gz	(30.0, 40452536.0)																																		
KRAS_siRNA_P5_1	(13.0, 34.0)	(14.0, 328.0)	(15.0, 1411.0)	(16.0, 3222.0)	(17.0, 5453.0)	(18.0, 7864.0)	(19.0, 10673.0)	(20.0, 14091.0)	(21.0, 18445.0)	(22.0, 24366.0)	(23.0, 31873.0)	(24.0, 41702.0)	(25.0, 55332.0)	(26.0, 76191.0)	(27.0, 106417.0)	(28.0, 146400.0)	(29.0, 199759.0)	(30.0, 263064.0)	(31.0, 340175.0)	(32.0, 438677.0)	(33.0, 596195.0)	(34.0, 925385.0)	(35.0, 2068936.0)	(36.0, 24997946.0)	(37.0, 7512101.0)										
KRAS_siRNA_P5_2	(11.0, 21.0)	(12.0, 573.0)	(13.0, 1747.0)	(14.0, 2324.0)	(15.0, 2852.0)	(16.0, 3702.0)	(17.0, 4887.0)	(18.0, 6541.0)	(19.0, 8888.0)	(20.0, 12496.0)	(21.0, 18092.0)	(22.0, 26098.0)	(23.0, 36467.0)	(24.0, 48197.0)	(25.0, 62126.0)	(26.0, 78256.0)	(27.0, 98848.0)	(28.0, 126257.0)	(29.0, 160564.0)	(30.0, 205788.0)	(31.0, 267257.0)	(32.0, 362750.0)	(33.0, 518308.0)	(34.0, 875645.0)	(35.0, 2441551.0)	(36.0, 26957522.0)	(37.0, 5558283.0)								
SRR24828472_1_fastq_gz	(12.0, 2.0)	(13.0, 21.0)	(14.0, 169.0)	(15.0, 931.0)	(16.0, 2375.0)	(17.0, 4078.0)	(18.0, 5652.0)	(19.0, 7244.0)	(20.0, 8834.0)	(21.0, 11599.0)	(22.0, 15482.0)	(23.0, 20872.0)	(24.0, 29286.0)	(25.0, 41562.0)	(26.0, 60082.0)	(27.0, 84214.0)	(28.0, 117115.0)	(29.0, 159169.0)	(30.0, 209792.0)	(31.0, 274993.0)	(32.0, 365648.0)	(33.0, 512710.0)	(34.0, 845745.0)	(35.0, 2218477.0)	(36.0, 30624794.0)	(37.0, 7545860.0)									
SRR24828472_2_fastq_gz	(3.0, 8.0)	(4.0, 77.0)	(5.0, 78.0)	(6.0, 103.0)	(7.0, 163.0)	(8.0, 203.0)	(9.0, 224.0)	(10.0, 235.0)	(11.0, 149.0)	(12.0, 715.0)	(13.0, 1439.0)	(14.0, 1538.0)	(15.0, 1775.0)	(16.0, 2285.0)	(17.0, 3080.0)	(18.0, 4455.0)	(19.0, 6328.0)	(20.0, 9136.0)	(21.0, 13280.0)	(22.0, 18950.0)	(23.0, 27354.0)	(24.0, 37583.0)	(25.0, 50228.0)	(26.0, 64546.0)	(27.0, 83347.0)	(28.0, 106899.0)	(29.0, 138385.0)	(30.0, 178946.0)	(31.0, 239279.0)	(32.0, 332516.0)	(33.0, 509811.0)	(34.0, 992549.0)	(35.0, 3538090.0)	(36.0, 32886059.0)	(37.0, 3916893.0)
